feature,coef,abs_coef
Rating,3.716411767941156,3.716411767941156
Class Name_Outerwear,-0.7883118573530266,0.7883118573530266
Class Name_Jackets,0.7714419386324511,0.7714419386324511
Division Name_Initmates,0.5609255215125931,0.5609255215125931
Class Name_Jeans,0.5576975233080368,0.5576975233080368
Division Name_General Petite,0.40138400464241825,0.40138400464241825
Class Name_Intimates,0.3883635093874546,0.3883635093874546
Division Name_General,0.3869625560006478,0.3869625560006478
Department Name_Bottoms,0.3703213745141487,0.3703213745141487
Department Name_Tops,0.3288540725562835,0.3288540725562835
